latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.70455,-79.404625,165.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),wind_direction_10m (°),pressure_msl (hPa)
2025-10-09T00:00,9.6,54,0.00,13.0,318,1027.8
2025-10-09T01:00,8.9,59,0.00,12.7,325,1027.6
2025-10-09T02:00,8.4,58,0.00,12.8,328,1029.0
2025-10-09T03:00,8.0,61,0.00,10.4,346,1029.2
2025-10-09T04:00,7.3,66,0.00,8.7,343,1030.0
2025-10-09T05:00,6.5,69,0.00,8.3,342,1030.4
2025-10-09T06:00,5.8,67,0.00,8.0,342,1030.9
2025-10-09T07:00,5.3,65,0.00,9.4,358,1030.9
2025-10-09T08:00,4.9,67,0.00,8.8,19,1030.9
2025-10-09T09:00,4.5,64,0.00,9.8,28,1031.5
2025-10-09T10:00,4.0,64,0.00,9.2,21,1032.5
2025-10-09T11:00,3.5,65,0.00,8.8,9,1032.9
2025-10-09T12:00,3.4,66,0.00,8.9,14,1033.7
2025-10-09T13:00,5.8,60,0.00,10.1,35,1034.6
2025-10-09T14:00,8.1,53,0.00,10.4,44,1035.0
2025-10-09T15:00,9.9,44,0.00,10.9,56,1035.1
2025-10-09T16:00,11.1,36,0.00,9.7,59,1035.2
2025-10-09T17:00,11.3,35,0.00,8.5,78,1035.0
2025-10-09T18:00,11.6,35,0.00,9.2,101,1034.2
2025-10-09T19:00,11.8,36,0.00,9.0,119,1033.9
2025-10-09T20:00,11.5,38,0.00,10.7,130,1033.7
2025-10-09T21:00,11.0,40,0.00,10.2,138,1033.2
2025-10-09T22:00,10.2,43,0.00,9.5,143,1032.6
2025-10-09T23:00,8.5,47,0.00,6.2,159,1032.8
2025-10-10T00:00,7.6,49,0.00,7.2,162,1033.3
2025-10-10T01:00,7.0,52,0.00,7.2,153,1033.2
2025-10-10T02:00,6.5,53,0.00,5.0,150,1032.6
2025-10-10T03:00,6.0,56,0.00,2.5,82,1032.1
2025-10-10T04:00,5.4,60,0.00,1.5,14,1031.8
2025-10-10T05:00,4.9,63,0.00,2.3,39,1031.4
2025-10-10T06:00,4.8,63,0.00,3.3,139,1031.3
2025-10-10T07:00,4.9,66,0.00,8.6,147,1031.4
2025-10-10T08:00,4.9,66,0.00,6.4,133,1031.2
2025-10-10T09:00,4.4,69,0.00,4.6,45,1030.8
2025-10-10T10:00,3.9,71,0.00,7.6,5,1030.4
2025-10-10T11:00,3.6,74,0.00,8.3,355,1030.5
2025-10-10T12:00,4.0,78,0.00,7.6,3,1030.4
2025-10-10T13:00,7.5,80,0.00,3.1,306,1029.8
2025-10-10T14:00,11.2,73,0.00,9.1,214,1029.0
2025-10-10T15:00,12.7,66,0.00,10.7,192,1028.6
2025-10-10T16:00,13.9,57,0.00,13.3,182,1028.0
2025-10-10T17:00,14.5,51,0.00,14.4,176,1027.0
2025-10-10T18:00,15.1,50,0.00,15.4,159,1025.8
2025-10-10T19:00,16.1,34,0.00,13.5,164,1023.6
2025-10-10T20:00,16.2,33,0.00,15.1,168,1022.6
2025-10-10T21:00,16.1,35,0.00,14.1,174,1022.2
2025-10-10T22:00,15.5,40,0.00,10.8,176,1021.8
2025-10-10T23:00,14.5,44,0.00,9.0,178,1021.6
2025-10-11T00:00,13.7,49,0.00,6.0,163,1021.5
2025-10-11T01:00,13.3,52,0.00,5.8,150,1020.9
2025-10-11T02:00,12.9,57,0.00,5.8,150,1020.7
2025-10-11T03:00,12.7,65,0.00,5.9,133,1020.4
2025-10-11T04:00,12.7,69,0.00,7.0,125,1019.9
2025-10-11T05:00,13.5,66,0.00,6.8,148,1019.7
2025-10-11T06:00,12.8,67,0.00,6.6,151,1019.8
2025-10-11T07:00,12.3,69,0.00,6.1,135,1019.5
2025-10-11T08:00,13.0,68,0.00,6.6,135,1019.2
2025-10-11T09:00,13.1,68,0.00,8.9,140,1018.8
2025-10-11T10:00,13.3,67,0.00,9.0,143,1018.9
2025-10-11T11:00,13.0,70,0.00,7.4,151,1019.2
2025-10-11T12:00,13.6,67,0.00,9.4,140,1019.2
2025-10-11T13:00,14.3,62,0.00,11.9,151,1019.6
2025-10-11T14:00,14.5,61,0.00,8.9,137,1019.4
2025-10-11T15:00,16.6,53,0.00,12.6,149,1019.2
2025-10-11T16:00,16.6,52,0.00,14.9,165,1019.4
2025-10-11T17:00,16.4,53,0.00,13.5,146,1019.0
2025-10-11T18:00,17.4,50,0.00,15.3,150,1018.6
2025-10-11T19:00,18.5,45,0.00,17.1,138,1018.2
2025-10-11T20:00,17.9,48,0.00,15.3,131,1018.1
2025-10-11T21:00,17.0,54,0.00,16.4,109,1017.9
2025-10-11T22:00,16.5,59,0.00,12.6,95,1017.8
2025-10-11T23:00,15.9,63,0.00,11.7,81,1018.1
2025-10-12T00:00,16.5,63,0.00,13.9,80,1017.8
2025-10-12T01:00,16.3,67,0.00,15.0,79,1017.6
2025-10-12T02:00,16.1,70,0.00,14.3,80,1017.5
2025-10-12T03:00,16.0,65,0.00,11.5,148,1017.4
2025-10-12T04:00,15.5,73,0.00,10.2,129,1017.5
2025-10-12T05:00,15.8,73,0.00,10.9,107,1016.9
2025-10-12T06:00,15.2,78,0.00,14.6,110,1017.0
2025-10-12T07:00,14.7,82,0.10,12.8,112,1017.0
2025-10-12T08:00,14.6,86,0.20,12.7,105,1016.7
2025-10-12T09:00,14.6,87,0.10,13.1,106,1016.4
2025-10-12T10:00,14.6,87,0.20,13.1,98,1016.3
2025-10-12T11:00,14.1,91,0.30,15.7,101,1016.5
2025-10-12T12:00,13.9,92,0.10,14.8,103,1016.7
2025-10-12T13:00,14.7,88,0.00,15.1,102,1017.2
2025-10-12T14:00,15.0,86,0.00,16.4,99,1016.9
2025-10-12T15:00,15.5,83,0.00,18.4,101,1016.9
2025-10-12T16:00,14.8,85,0.20,18.3,100,1016.9
2025-10-12T17:00,14.8,84,0.10,20.3,97,1016.9
2025-10-12T18:00,15.4,79,0.00,19.8,89,1016.2
2025-10-12T19:00,16.5,69,0.00,22.9,83,1015.7
2025-10-12T20:00,15.2,74,0.00,21.8,82,1015.5
2025-10-12T21:00,15.6,68,0.00,21.4,82,1015.1
2025-10-12T22:00,15.4,65,0.00,21.9,81,1015.0
2025-10-12T23:00,15.3,66,0.00,21.8,81,1014.8
2025-10-13T00:00,15.2,68,0.00,21.8,81,1015.1
2025-10-13T01:00,15.6,66,0.00,21.3,101,1015.0
2025-10-13T02:00,14.8,65,0.00,19.5,109,1015.5
2025-10-13T03:00,14.0,68,0.00,18.9,108,1015.5
2025-10-13T04:00,13.4,74,0.00,17.5,104,1015.4
2025-10-13T05:00,13.2,77,0.00,15.0,107,1015.3
2025-10-13T06:00,13.4,73,0.00,14.0,108,1015.4
2025-10-13T07:00,13.2,78,0.00,11.2,88,1015.2
2025-10-13T08:00,12.3,85,0.10,13.2,64,1014.8
2025-10-13T09:00,11.6,78,0.00,11.9,65,1015.0
2025-10-13T10:00,11.4,78,0.10,13.0,56,1014.8
2025-10-13T11:00,11.1,79,0.00,13.3,71,1014.7
2025-10-13T12:00,11.1,78,0.00,11.2,69,1015.0
2025-10-13T13:00,11.5,75,0.00,10.4,70,1015.0
2025-10-13T14:00,12.1,71,0.00,9.1,72,1015.1
2025-10-13T15:00,12.7,67,0.00,7.8,68,1015.0
2025-10-13T16:00,13.5,63,0.00,5.9,52,1014.7
2025-10-13T17:00,14.4,58,0.00,5.2,25,1014.3
2025-10-13T18:00,15.1,55,0.00,5.4,4,1013.9
2025-10-13T19:00,15.3,54,0.00,5.1,8,1013.7
2025-10-13T20:00,15.2,54,0.00,5.2,25,1013.5
2025-10-13T21:00,15.0,55,0.00,5.1,39,1013.5
2025-10-13T22:00,14.4,58,0.00,4.8,42,1013.8
2025-10-13T23:00,13.6,62,0.00,4.3,42,1014.4
2025-10-14T00:00,12.9,66,0.00,3.8,41,1014.8
2025-10-14T01:00,12.4,69,0.00,4.1,45,1015.0
2025-10-14T02:00,11.9,71,0.00,4.3,48,1015.2
2025-10-14T03:00,11.6,73,0.00,4.3,48,1015.3
2025-10-14T04:00,11.3,74,0.00,4.3,42,1015.4
2025-10-14T05:00,11.1,74,0.00,4.5,29,1015.5
2025-10-14T06:00,10.9,75,0.00,4.6,18,1015.6
2025-10-14T07:00,10.6,76,0.00,4.5,14,1015.7
2025-10-14T08:00,10.3,77,0.00,4.3,5,1015.8
2025-10-14T09:00,10.0,78,0.00,4.3,360,1016.0
2025-10-14T10:00,9.7,79,0.00,4.0,350,1016.4
2025-10-14T11:00,9.5,80,0.00,4.2,340,1016.8
2025-10-14T12:00,9.7,79,0.00,4.0,333,1017.2
2025-10-14T13:00,10.6,75,0.00,4.2,329,1017.5
2025-10-14T14:00,11.8,69,0.00,3.9,326,1017.7
2025-10-14T15:00,13.3,63,0.00,4.2,329,1017.7
2025-10-14T16:00,15.0,56,0.00,4.7,328,1017.3
2025-10-14T17:00,16.9,49,0.00,5.7,325,1016.6
2025-10-14T18:00,18.3,44,0.00,6.6,331,1016.1
2025-10-14T19:00,19.1,43,0.00,7.6,341,1015.8
2025-10-14T20:00,19.3,44,0.00,8.8,348,1015.6
2025-10-14T21:00,19.1,46,0.00,9.4,353,1015.7
2025-10-14T22:00,18.1,50,0.00,9.1,351,1016.2
2025-10-14T23:00,16.5,56,0.00,8.1,347,1016.9
2025-10-15T00:00,15.2,61,0.00,7.6,341,1017.4
2025-10-15T01:00,14.4,65,0.00,7.8,338,1017.6
2025-10-15T02:00,13.8,69,0.00,7.9,336,1017.7
2025-10-15T03:00,13.3,73,0.00,7.9,336,1017.8
2025-10-15T04:00,12.9,76,0.00,7.6,335,1018.0
2025-10-15T05:00,12.5,78,0.00,6.8,335,1018.1
2025-10-15T06:00,12.2,80,0.00,6.4,333,1018.2
2025-10-15T07:00,11.9,82,0.00,6.3,329,1018.1
2025-10-15T08:00,11.7,83,0.00,6.5,326,1018.0
2025-10-15T09:00,11.5,84,0.00,6.2,324,1018.0
2025-10-15T10:00,11.1,86,0.00,6.0,327,1018.4
2025-10-15T11:00,10.7,88,0.00,5.6,333,1019.0
2025-10-15T12:00,10.9,87,0.00,5.2,335,1019.3
2025-10-15T13:00,12.2,80,0.00,3.7,331,1019.2
2025-10-15T14:00,14.1,71,0.00,1.8,307,1018.8
2025-10-15T15:00,15.8,62,0.00,1.6,243,1018.3
2025-10-15T16:00,17.1,55,0.00,3.1,216,1017.5
2025-10-15T17:00,18.3,49,0.00,4.9,216,1016.6
2025-10-15T18:00,19.1,45,0.00,6.0,213,1015.9
2025-10-15T19:00,19.6,42,0.00,6.6,209,1015.5
2025-10-15T20:00,19.7,40,0.00,6.3,204,1015.4
2025-10-15T21:00,19.4,41,0.00,6.0,197,1015.2
2025-10-15T22:00,18.3,46,0.00,5.8,187,1015.0
2025-10-15T23:00,16.7,54,0.00,5.8,173,1014.9
